school_name,district_name,enrollment11,num_testtakers11,num_erwbenchmark11,pct_erwbenchmark11,num_mathbenchmark11,pct_mathbenchmark11,total_num_bothbenchmark11,pct_bothbenchmark11
University Preparatory Value High,Los Angeles Unified,114.0,102.0,27.0,26.47,16.0,15.69,15.0,14.71
Laguna Creek High,Elk Grove Unified,459.0,192.0,176.0,91.67,155.0,80.73,150.0,78.13
Simon Rodia Continuation,Los Angeles Unified,91.0,15.0,3.0,20.0,0.0,0.0,0.0,0.0
Kearny College Connections,San Diego Unified,90.0,56.0,42.0,75.0,24.0,42.86,20.0,35.71
San Diego Science and Technology,San Diego Unified,212.0,55.0,39.0,70.91,23.0,41.82,22.0,40.0
Alliance Tennenbaum Family Technology High,Los Angeles Unified,82.0,42.0,25.0,59.52,7.0,16.67,6.0,14.29
Valley Academy of Arts and Sciences,Los Angeles Unified,270.0,237.0,121.0,51.05,46.0,19.41,41.0,17.3
Casa Roble Fundamental High,San Juan Unified,295.0,87.0,77.0,88.51,67.0,77.01,65.0,74.71
Preuss School UCSD,San Diego Unified,113.0,106.0,94.0,88.68,72.0,67.92,68.0,64.15
Clairemont High,San Diego Unified,215.0,79.0,64.0,81.01,46.0,58.23,46.0,58.23
Mission Bay High,San Diego Unified,278.0,113.0,100.0,88.5,78.0,69.03,77.0,68.14
Roosevelt High,Fresno Unified,499.0,250.0,83.0,33.2,28.0,11.2,21.0,8.4
"Ernest S. McBride, Sr. High",Long Beach Unified,175.0,170.0,145.0,85.29,91.0,53.53,88.0,51.76
George Washington Preparatory High,Los Angeles Unified,243.0,194.0,54.0,27.84,13.0,6.7,12.0,6.19
Francisco Bravo Medical Magnet High,Los Angeles Unified,429.0,439.0,319.0,72.67,234.0,53.3,219.0,49.89
Florin High,Elk Grove Unified,342.0,114.0,66.0,57.89,55.0,48.25,48.0,42.11
STEM Academy at Bernstein High,Los Angeles Unified,131.0,119.0,62.0,52.1,39.0,32.77,32.0,26.89
Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,200.0,147.0,25.0,17.01,2.0,1.36,2.0,1.36
Gompers Preparatory Academy,San Diego Unified,153.0,144.0,60.0,41.67,20.0,13.89,17.0,11.81
Harris Newmark Continuation,Los Angeles Unified,44.0,26.0,3.0,11.54,0.0,0.0,0.0,0.0
Pueblo de Los Angeles Continuation,Los Angeles Unified,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Eleanor Roosevelt High,Corona-Norco Unified,1048.0,404.0,347.0,85.89,320.0,79.21,298.0,73.76
